Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Item","yogurt002","（发德国比利时） Van IJssel 艾瑟尔常温原味酸奶（4箱）48盒*200ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","yogurt001","（荷兰发货） Van IJssel 艾瑟尔常温原味酸奶（2箱）24盒*200ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","3401575645790","【临期特价】BIODERMA 贝德玛 粉色卸妆水 500ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","3540550000572L","【临期特价】FILORGA 菲洛嘉 滋养塑颜面霜 50ml (简装）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","3540550000749L","【临期特价】FILORGA 菲洛嘉 逆龄时光面霜（哑光版）  片装2ml*20","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","3540550000480L","【临期特价】FILORGA 菲洛嘉21天美白精华乳10ml*1（简装）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","6902510337202","【免税直邮】【两只装】JO MALONE 祖玛珑 鼠尾草与海盐 30ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","6902510337202","【免税直邮】【两只装】JO MALONE 祖玛珑 鼠尾草与海盐 30ml","WNL","2-F-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","6902510337202","【免税直邮】【两只装】JO MALONE 祖玛珑 鼠尾草与海盐 30ml","WNL","OUT CT","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","7173342470862","【免税直邮】【两只装】ORIGINS 悦木之源 灵芝强韧乳 100ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","6902510458222","【免税直邮】【两瓶装】JO MALONE 祖玛珑 丝绒玫瑰与乌木 50ml 古龙水","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","6902510458222","【免税直邮】【两瓶装】JO MALONE 祖玛珑 丝绒玫瑰与乌木 50ml 古龙水","WNL","2-F-5","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","4971710487(503/497)","【免税直邮】COSME DECORTE 黛珂 （紫苏水+牛油果乳液）超值组合 150ml*2","WNL","4-H-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","201912162","【新年大礼包】菲洛嘉 嘉年华 69.9 豪华礼包 8件装","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","201912161","【新年大礼包】菲洛嘉 嘉年华 99.9 豪华礼包 11件装","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","DD992883","【荷兰直邮】3M  8822 FFP2  口罩 （等同于美标N95） 祝祖国坚强 1片 建议一次买10片（1盒 10片）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","DD992884","【荷兰直邮】3M 8822 FFP2 口罩 （等同于美标N95）1盒（10片） 祝祖国坚强","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","DD992881","【荷兰直邮】3M FFP3 口罩 （等同于美标N99） 祝祖国坚强 1片 建议一次买20片（1盒 20片）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","4054596329478","【限购10只】3M 9320+ FFP2 (国内N95标准) 口罩","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Xero","3253581688779","1 Creame mains Fleur de cerisier 30ml set box","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3253581688779","1 Creame mains Fleur de cerisier 30ml set box","WNL","PL12","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3253581690468","1 Ultra Riche hand and body wash lotion 300ml+1 KaritÂ¨Â¦ hand cream 75ml+1 
 intensive nourishing hand balm 75ml","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3253581690468","1 Ultra Riche hand and body wash lotion 300ml+1 KaritÂ¨Â¦ hand cream 75ml+1 
 intensive nourishing hand balm 75ml","WNL","1-B-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
