store,websites,attribute_set,type,sku,name,qty,sku_type
admin,base,Fragrance,simple,3346130493150,"Hermes Eau D'Orange Verte Eau de Cologne 100ml (Tester)",3.0000,
admin,base,Fragrance,simple,22548396681,"Zegna Essence Indonesian Oud Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,2963102058771,"Sisley Soir d'Orient EPD 100ml (Tester)",11.0000,
admin,base,"Skin care",simple,3401340878835,"Filorga Time Filler 30ml ",4152.0000,
admin,base,Default,simple,8888888888,internal-test-product,0.0000,
admin,base,"Skin care",simple,3540550008356,"Filorga NCTF-Reverse Anti-Wrinkle Cream 30ml",896.0000,
admin,base,Fragrance,simple,8011003845569,"Shewood Eau de Toilette 30ml",0.0000,
admin,base,Fragrance,simple,3346475539681,"Guerlain Eau De Cashmere Eau de Toilette 125ml (Unboxed Tester)",0.0000,
admin,base,Fragrance,simple,8008230800799,"Acca Kappa White Moss Eau de Cologne 50ml",8.0000,
admin,base,Fragrance,simple,3348900871984,"Dior Miss Dior Blooming Bouquet Eau de Toilette 50ml",0.0000,
admin,base,Fragrance,simple,8008230018972,"Acca Kappa White Moss Diffuser 250ml",0.0000,
admin,base,Fragrance,simple,8008230403181,"Acca Kappa White Moss Diffuser Refill 500ml",0.0000,
admin,base,Fragrance,simple,8008230801116,"Acca Kappa White Moss Deodarant Stick 75ml",0.0000,
admin,base,Fragrance,simple,8008230008898,"Acca Kappa White Moss Set",0.0000,
admin,base,Fragrance,simple,8008230024232,"Acca Kappa Mandarin & Green Tea Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,8008230002742,"Acca Kappa Calycanthus Eau de Parfum 100ml",21.0000,
admin,base,Fragrance,simple,8028713570174,"Acqua di Parma Blue Mediterraneo Fico di Amalfi Eau de Toilette 150ml (Unboxed Tester)",0.0000,
admin,base,Fragrance,simple,8028713570056,"Acqua di Parma Blue Mediterraneo Fico di Amalfi Eau de Toilette 75ml",0.0000,
admin,base,Fragrance,simple,8028713578762,"Acqua Di Parma Blue Mediterraneo Chinotto di Liguria Eau de Toilette 150ml (Tester)",38.0000,
admin,base,Fragrance,simple,8028713578014,"Acqua Di Parma Blu Mediterraneo Mandorlo di Sicilia Eau de Toilette 150ml (Tester)",31.0000,
admin,base,Fragrance,simple,8028713476006,"Acqua Di Parma Magnolia Nobile Eau de Parfum 100ml (Tester)",2.0000,
admin,base,Fragrance,simple,3760016770294,"Alexandre J Zafeer Oud Vanille Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3700753001381,"Alexandre J Iris Violet Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,10000017453,"Amouage Dia man 100ml Eau de Parfum (Tester）",0.0000,
admin,base,Fragrance,simple,701666270065TL,"Amouage Memoir Man Eau de Parfum 100ml (Tester)",0.0000,
admin,base,Fragrance,simple,701666270072TL,"Amouage Memoir Woman Eau de Parfum 100ml (Tester)",0.0000,
admin,base,Fragrance,simple,701666316138L,"Amouage Fate for Women Eau de Parfum 100ml (Tester)",0.0000,
admin,base,Fragrance,simple,10000001043L,"Amouage Lyric Woman Eau de Parfum 100ml (Tester)",0.0000,
admin,base,Fragrance,simple,701666312123,"Amouage Epic Woman Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,701666311072,"Amouage Jubilation 25 Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,701666262008,"Amouage Lilax Love Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,10000001065,"Amouage Gold pour Homme Eau de Parfum 100ml (Tester)",0.0000,
